cant_entidades_deuda_directa_prestamo_personal_consumo,cnt_meses_pago_min_3m,cnt_utl_meses_aldia_12m,flag_100normal_ripley_3um,flag_100normal_ripley_6um,flag_100normal_toh_12um,flag_100normal_toh_9um,frec_oec_12m,frec_pro_12m,id_doc,maduracion,max_dias_atraso_deuda_directa,max_dias_atraso_deuda_directa_consumo,max_max_dias_atraso_deuda_directa_12um,max_max_dias_atraso_deuda_directa_3um,max_max_dias_atraso_deuda_directa_6um,max_max_dias_atraso_deuda_directa_9um,max_max_dias_atraso_deuda_directa_consumo_3um,max_max_dias_atraso_deuda_directa_consumo_6um,max_max_dias_atraso_deuda_directa_consumo_falabella_12um,max_max_dias_atraso_deuda_directa_consumo_toh_12um,max_max_dias_atraso_deuda_directa_consumo_toh_6um,max_max_dias_atraso_deuda_directa_toh_6um,max_max_dias_atraso_deuda_directa_toh_9um,meses_mora_360,mto_deuda_directa_consumo_toh,mto_deuda_directa_tc_disponibilidad_efectivo_revolvente,mto_deuda_directa_tc_disponibilidad_efectivo_revolvente_toh,mto_deuda_directa_tc_disponibilidad_efectivo_toh,mto_linea_cred,mto_lineadisp_tc_consumo,mto_lineadisp_tc_consumo_falabella,mto_lineadisp_tc_consumo_toh,num_meses_pasa_cuo,pct_compra_balance_6m,pct_pago_balance_3m,peor_calificacion_deuda_directa,prom_mto_deuda_directa_libre_disponibilidad_bcp_12um,prom_mto_deuda_directa_prestamo_norevolvente_bcp_12um,prom_mto_deuda_directa_toh_6um,prom_mto_linea_tc_consumo_toh_6um,prom_mto_linea_tc_consumo_toh_9um,prom_mto_lineadisp_tc_consumo_ripley_12um,prom_mto_lineadisp_tc_consumo_toh_6um,prom_mto_lineadisp_tc_consumo_toh_9um,prom_ratio_utilizacion_tc_compras_ripley_3um,prom_ratio_utilizacion_tc_consumo_3um,prom_ratio_utilizacion_tc_consumo_ibk_3um,prom_ratio_utilizacion_tc_consumo_toh_3um,prom_ratio_utilizacion_tc_consumo_toh_6um,prom_ratio_utilizacion_tc_disponibilidad_efectivo_6um,prom_ratio_utilizacion_tc_disponibilidad_efectivo_9um,ratio_utilizacion_tc_compras_ripley,ratio_utilizacion_tc_consumo,ratio_utilizacion_tc_consumo_ibk,ratio_utilizacion_tc_consumo_ripley,ratio_utilizacion_tc_disponibilidad_efectivo,ratio_utilizacion_tc_disponibilidad_efectivo_toh,util_ul_mes,ingreso,edad,pago_men_deuda
2,1,12,,,100%normal,100%normal,2,1,18145451098942134593,107,0,0,0,0,0,0,0,0,,0,0,0,0,0,22456,20399.41,20000,20000,24100,16371.76,,7544,1,137.1,20.63,normal,76354.288333333,76354.288333333,13295.978333333,41733.333333333,47966.666666667,,28437.355,28434.853333333,,0.604741181,,0.335303618,0.323610209,0.138791349,0.182500838,,0.763649055,,,0.289419017,0.666666667,0.93,5500.0,63,2206.37
1,0,12,,,100%normal,100%normal,1,9,18145450991157690660,105,0,0,0,0,0,0,0,0,,0,0,0,0,0,38052.63,,,9601.54,30000,9895.54,,6147.37,0,183.84,109.24,normal,,,53285.061666667,52566.666666667,62630.888888889,,6532.61,5797.516666667,,0.978459122,1.027662758,0.934536075,1.003010752,0.156003843,0.181879759,,0.944832947,1.053997473,,0.082699891,0.217229412,1.07,6212.91,51,25670.0
0,0,12,,,no es 100%normal,no es 100%normal,1,3,18145451148572091318,140,0,0,129,0,0,0,0,0,,0,0,0,0,0,22721.22,,,22683.12,13800,15578.78,,15578.78,0,257.77,1158.3,dudoso,,,26871.498333333,40933.333333333,43166.666666667,,14061.835,14095.755555556,,0.622530133,,0.622545943,0.655088511,0.642916946,0.655951972,,0.593227853,,,0.592233101,0.592248564,0.04,7300.0,71,1872.5
3,0,12,,,100%normal,100%normal,1,0,18145452066129805719,163,0,0,0,0,0,0,0,0,,0,0,0,0,0,2716.71,2582.02,1667.72,1667.72,30000,30868.99,,27283.29,0,41.39,10.33,normal,,,2246.313333333,30000,30000,,27753.686666667,28210.708888889,,0.096038164,,0.079538556,0.074877111,0.07822599,0.072816486,,0.105246667,,,0.074841159,0.055590667,0.15,5200.0,50,473.55
1,1,12,100%normal,100%normal,no es 100%normal,no es 100%normal,3,6,18145451730774925224,178,0,0,17,0,0,17,0,0,0,0,0,0,0,0,2597.47,20,,,30000,143186.69,7107.95,27402.53,0,80.32,45.74,normal,154287.181111111,154287.181111111,1946.523333333,30000,30000,14000,28053.476666667,27791.461111111,,0.138763942,,0.083888222,0.064884111,0.00008939,0.00008939,,0.140996371,,,0.000119614,,0.12,7300.0,51,1724.0
1,0,12,,,100%normal,100%normal,1,1,18152446382457945668,27,0,0,0,0,0,0,0,0,,0,0,0,0,0,13865.8,,,12129.6,2600,934.2,,934.2,0,497.7,96.04,normal,,,12575.885,15095.333333333,13322.888888889,,2519.448333333,1817.596666667,,0.846256147,,0.846256147,0.836584776,0.791473863,0.784402798,,0.936878378,,,0.819567568,0.819567568,0.67,5700.0,62,990.3
0,0,12,,,no es 100%normal,no es 100%normal,4,1,18145451152715764384,136,0,0,16,15,16,16,15,16,0,0,0,0,0,0,23282.46,,,17112.18,30000,68792.22,14381.86,23917.54,0,100.33,78.48,normal,,,25215.111666667,49666.333333333,49288.666666667,,24451.221666667,24236.603333333,,0.245957404,,0.455670062,0.506198936,0.172842986,0.165432759,,0.264287212,,,0.183093947,0.362546186,0.17,8950.0,86,5906.54
1,0,12,no es 100%normal,no es 100%normal,no es 100%normal,no es 100%normal,1,1,18145451389155964247,140,20,20,20,20,20,20,20,20,,0,0,0,0,0,50051.8,,,50000,40000,321891.05,,42500.2,0,31828.19,1359.21,cpp,,,16747.538333333,50850.666666667,43900.444444444,7377.498333333,34103.128333333,32585.057777778,0.001998667,0.197054075,0.021569682,0.361115239,0.182385675,0.09388569,0.09388569,0.002,0.206623179,0.054082261,0.002,0.094222458,0.54023684,0.0,6010.0,49,2046.79
3,0,12,100%normal,100%normal,100%normal,100%normal,0,1,18145451591331119705,143,0,0,2,0,0,2,0,0,2,0,0,0,0,0,24705.28,4599.37,,24333.22,15000,34043.73,9532.77,8494.72,0,1004.92,678.94,normal,,,20654.633333333,32419.666666667,27413.111111111,6527.603333333,11765.033333333,10373.591111111,0.008688714,0.531468207,0.585259966,0.694197803,0.594720115,0.322108401,0.310090823,0.011625197,0.549095641,0.647505959,0.2163,0.383208037,0.732928313,0.04,6950.0,64,2924.29
1,0,12,100%normal,100%normal,100%normal,100%normal,1,1,18152446698896952152,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13436.48,7466.04,,13336.6,30000,190318.13,9714.86,30563.52,0,178.7,743.22,normal,,,15089.495,45066.666666667,42035.222222222,31687.276666667,29977.171666667,29866.156666667,0.013058762,0.131648889,,0.319098311,0.334468775,0.124294303,0.112721705,0.011536286,0.139413811,,0.078286286,0.123091916,0.303104545,0.01,5200.0,55,2244.19
