cant_entidades_deuda_directa_prestamo_personal_consumo,cnt_meses_pago_min_3m,cnt_utl_meses_aldia_12m,flag_100normal_ripley_3um,flag_100normal_ripley_6um,flag_100normal_toh_12um,flag_100normal_toh_9um,frec_oec_12m,frec_pro_12m,id_doc,maduracion,max_dias_atraso_deuda_directa,max_dias_atraso_deuda_directa_consumo,max_max_dias_atraso_deuda_directa_12um,max_max_dias_atraso_deuda_directa_3um,max_max_dias_atraso_deuda_directa_6um,max_max_dias_atraso_deuda_directa_9um,max_max_dias_atraso_deuda_directa_consumo_3um,max_max_dias_atraso_deuda_directa_consumo_6um,max_max_dias_atraso_deuda_directa_consumo_falabella_12um,max_max_dias_atraso_deuda_directa_consumo_toh_12um,max_max_dias_atraso_deuda_directa_consumo_toh_6um,max_max_dias_atraso_deuda_directa_toh_6um,max_max_dias_atraso_deuda_directa_toh_9um,meses_mora_360,mto_deuda_directa_consumo_toh,mto_deuda_directa_tc_disponibilidad_efectivo_revolvente,mto_deuda_directa_tc_disponibilidad_efectivo_revolvente_toh,mto_deuda_directa_tc_disponibilidad_efectivo_toh,mto_linea_cred,mto_lineadisp_tc_consumo,mto_lineadisp_tc_consumo_falabella,mto_lineadisp_tc_consumo_toh,num_meses_pasa_cuo,pct_compra_balance_6m,pct_pago_balance_3m,peor_calificacion_deuda_directa,prom_mto_deuda_directa_libre_disponibilidad_bcp_12um,prom_mto_deuda_directa_prestamo_norevolvente_bcp_12um,prom_mto_deuda_directa_toh_6um,prom_mto_linea_tc_consumo_toh_6um,prom_mto_linea_tc_consumo_toh_9um,prom_mto_lineadisp_tc_consumo_ripley_12um,prom_mto_lineadisp_tc_consumo_toh_6um,prom_mto_lineadisp_tc_consumo_toh_9um,prom_ratio_utilizacion_tc_compras_ripley_3um,prom_ratio_utilizacion_tc_consumo_3um,prom_ratio_utilizacion_tc_consumo_ibk_3um,prom_ratio_utilizacion_tc_consumo_toh_3um,prom_ratio_utilizacion_tc_consumo_toh_6um,prom_ratio_utilizacion_tc_disponibilidad_efectivo_6um,prom_ratio_utilizacion_tc_disponibilidad_efectivo_9um,ratio_utilizacion_tc_compras_ripley,ratio_utilizacion_tc_consumo,ratio_utilizacion_tc_consumo_ibk,ratio_utilizacion_tc_consumo_ripley,ratio_utilizacion_tc_disponibilidad_efectivo,ratio_utilizacion_tc_disponibilidad_efectivo_toh,util_ul_mes,PD
0,0,0,no es 100%normal,no es 100%normal,no es 100%normal,no es 100%normal,,,19009402855613293142,13,,,,,,,,,,,,,,1,,,,,2500.0,17200.0,2000.0,2500,0,,,sin calificacion,,,,2666.666666667,2777.777777778,12700.0,2666.666666667,2777.777777778,,,,,,,,,,,,,,0.0,0.14550684
0,0,12,,,no es 100%normal,no es 100%normal,4.0,1.0,19182442358285839749,9,,,0.0,,,0.0,,,,0.0,,,0.0,0,,,,,,700.0,,700,0,,,sin calificacion,,,,700.0,700.0,,700.0,624.455555556,,,,,,,,,,,,,,,0.16764092
0,0,12,,,no es 100%normal,no es 100%normal,1.0,0.0,18145452046241820562,127,,,60.0,,,0.0,,,,60.0,,,,0,,,,,1400.0,1400.0,,1400,0,,,sin calificacion,,,,1600.0,1633.333333333,,1600.0,1633.333333333,,,,,,,,,,,,,,0.0,0.14189811
0,0,0,,,no es 100%normal,no es 100%normal,,,18340395458858756906,79,,,,,,,,,,,,,,10,,,,,1400.0,1400.0,,1400,0,,,sin calificacion,,,,1400.0,1400.0,,1400.0,1400.0,,,,,,,,,,,,,,0.0,0.26227614
0,0,12,,,no es 100%normal,no es 100%normal,,,19149425039327973588,61,,,0.0,,,,,,,0.0,,,,0,,,,,18300.0,18600.0,300.0,18300,0,,,sin calificacion,,,,17533.333333333,17022.222222222,,17533.333333333,17022.222222222,,,,,,,,,,,,,,0.0,0.08497893
0,0,12,no es 100%normal,no es 100%normal,no es 100%normal,no es 100%normal,1.0,0.0,18145451516381521506,15,,,,,,,,,,,,,,0,,,,,16100.0,59398.34,,16100,0,,,sin calificacion,,,,16100.0,16966.666666667,10000.0,16100.0,16966.666666667,,,,,,,,,,,,,,0.0,0.07825365
0,0,12,,,no es 100%normal,no es 100%normal,0.0,1.0,18145451320024171547,101,,,,,,,,,,,,,,0,,,,,3600.0,3600.0,,3600,0,,,sin calificacion,,,,3400.0,3266.666666667,,3400.0,3266.666666667,,,,,,,,,,,,,,0.0,0.099993944
0,0,0,,,no es 100%normal,no es 100%normal,6.0,0.0,19291630481049127850,26,,,,,,,,,,,,,,2,,,,,2000.0,6400.0,4400.0,2000,0,,,sin calificacion,,,,2000.0,2000.0,,2000.0,2000.0,,,,,,,,,,,,,,0.0,0.12761688
0,0,0,,,no es 100%normal,no es 100%normal,4.0,2.0,18145451636415563456,123,,,0.0,,,,,,,0.0,,,,8,,,,,30000.0,30000.0,,30000,0,,,sin calificacion,,,,30000.0,30000.0,,30000.0,30000.0,,,,,,,,,,,,,,0.0,0.3208786
0,0,12,,,no es 100%normal,no es 100%normal,,,19291630820012284964,13,,,,,,,,,,,,,,0,,,,,2100.0,3600.0,,2100,0,,,sin calificacion,,,,2233.333333333,2322.222222222,,2233.333333333,2322.222222222,,,,,,,,,,,,,,0.0,0.101501435
